category,name,lvl,Qu,speed code,AT,hits,PP,size,OB melee,OB missile,OB magic,Primary Attack,Secondary Attack,Tertiary Attack,DB,DBm,comment,Notes,enc,immune,weakness,piclink,spells,climate code,habitat code,frequency of encounter code,measurement
Rávatsar,Shaking Asps,2,,SL/VF,3,15,,S,,,,25SSt,poison,-,50,,"The Slow-fang is one of the most dangerous and dominant creatures in the rain forests of southern Endor. Large (9' long) and exceptionally strong, it leaves in trees and hunts large mammals and smaller reptiles. Its body coloration varies with the surface they happen to cross, although it is usually brownish and has mottled green stripes. They have friction pads on their ft, specialized scales that enable them to stick to vertical surfaces for indefinite periods. The Slow-fangs are naturally agile tree-climbers. This feature, however, impairs their movement on the jungle floor, and they are awkward runners; thus their name. Still, they can be quite deadly. Endowed with a strong, 6' long prehensile tongue that acts like a whip or bola, they can strike a foe quickly. Then they bite the immobilized victim with a pair of 7' fangs, injecting a mild (2nd lvl) muscle poison. This venom disables the prey long enough for the Slow-fang to slowly discard any inedible trappings (e.g., clothing) before swallowing the meal in one long gulp.",Normal. Potent poison (Lvl 8).,1-2,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,hw,FMDJL,4,8-10 ft
Rávatsar,Slow-fangs,10,,MD/MF,12,120,,L,,,,80MGr,90MBi,poison,30,,"An arboreal creature, the Trusa (P. 'Leaf Frog'; pl. 'Trusavi') is adapted for gliding from tree to tree. It has a broad head, a long slim body, and elongated limbs with webbed ft. Flaps of skin fringe the forelimbs and heels, permitting the creature to extend its body and create a bizarre but effective set of 'wings.' This bright red and blue frog grows no larger than about 3 inches in length, but they are among the deadliest animals in the humid woodlands of southeastern Middle-earth. If touched, the spines on the back of the Trusa will inject a strong (lvl 4) poison which acts in 1-10 rds. A victim who fails his RR by 21 or more dies, while one who fails by 11-20 becomes blind and falls into a coma. A RR failure of 01-10 leaves the victim blind in 1-2 eyes.","Aggressive. Uses MBi if LGr grasps foe, Lvl 2 Muscle Poison.",1-2,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,hw,FMJL,4,2-3 inches
Rávatsar,Trusavi,1,,SL/SL,1,10,,T,,,,0TBa,50TSt,poison,30,,"A small tree frog from the rainforests of the Mûmakan in the south of Middle-earth, the Umak (pl. 'Umakavi') is notable for the potent contact poison exuded by its colorful skin. Bright lime green and streaked with yellow and orange, the Umak Tree Frog is noticeable, but it is so rare that it is still nearly impossible to spot. The bright coloring warns away animal and bird predators who would be poisoned upon grabbing the frog in their beaks or mouths, but merely makes things easier for clever human or Elf hunters who wish to extract the poison and who come armed with nets on long handles. The poison is tenth level in contact with skin; unlucky individuals are killed instantly (upon failing a RR), while the more fortunate are plunged into a coma until awakened by some form of anitdote.","Passive. lf TBa successful (or if touched), the TSt attack is made. LVl 4 Poison.",1-5,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,h,FMJL,7,3-4 inches
Rávatsar,Umakavi,1,,SL/SL,1,8,,T,,,,0TBa,poison,-,30,,"Uncommon but well-feared, the huge Sea Crocodiles resemble Fell Beasts without wings. They are gracile, dark blue, and have black stripes running down the backs of their horny backs. Many chroniclers believe they are related to Water Drakes, for Sea Crocodiles have enlongated conical grasping teeth in the forward part of their snouts that extend well outside their mouths. All other members of the Crocodile family have shorter fangs that fit into notches or pits in their upper jaw. Like sea monsters, Sea Crocodiles are prone to attack smaller ships, seeking to puncture hulls with their mighty jaws, then waiting for the ship to founder. Nesting in secluded bays or in coastal caves, they also present a danger on land as well.",Passive. Lvl 10 Contact poison.,1-10,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,hnwmk,OS,7,18-27 ft
Rávatsar,Zamkavi,1,,MF/VF,1,30,,M,,,,40MG,poison,-,30,,"The Zamka (pl. 'Zamkavi') is common to the dry hills of western Harad. Its name translates as 'snare,' and is derived from this snake's method of attack. The Zamka whips its tail out like a lash and coils about a limb or appendage. The snake's long (7) body is lined with small barbs along each side. The barbs are coated with a poisonous secretion which enters through the skin of its victim. This (7th lvl) muscle poison essentially paralyzes the prey (duration = 20 minutes per ten points of RR failure). When its venom takes effect — in forty-five seconds — the serpent will move to constrict its prey. Once the victim is dead, the Zamka remains with the corpse until time and weather has softened i t . Then the snake begins its feast. Other animals of the region are aware of the nature of the Zamka and will steer well clear of any kill it guards, for the snake will not hesitate to add another body to its larder, should any be foolish enough to approach. NOTE: For hit determination, the Entangle Table should be used with any critical indicating a poisoning. The Zamka will aim at areas of bare skin, but will not actually attempt to constrict a victim that is moving, and it will continue its attacks until movement ceases, even if a hit has already been made. Successive RR failures will give cumulative effects.","Aggressive. 'Snare' Snake, Lvl 7 poison.",1-2,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,ans,BVZP,5,6-7 ft
Rávatsar,Zurkuvi,1,,MD/FA,3,25,,S,,,,30SCl,poison,-,40,,"The Zurku (Ap. 'Trail lizard'; pl. 'Zurkuvi') is found throughout Harad, particularly in the south. It is related to the Gorbet of northwestern Endor. (Gorbets are especially well known in Dunland.) A dull yellow color with black and red stripes on its head and neck, the Zurku is a colorful creature. (Gorbets only differ in that they have black and blue speckles.) It has a bright orange, arrow-shaped patch on its back. The Zurku typically grows to a length of 12' and can be found in the summer months. The lizard has no natural enemies because it tastes terrible and secretes a mild nerve toxin from its skin. The poison is absorbed through the skin and paralyzes victims for a period of 10-20 minutes. Of course, this venom only numbs the limbs of larger attackers for awhile, but for most animals it is an effective deterrent. What is notable about this relatively harmless lizard is its reputation as a pathfinder. It is believed by most Haradrim that if they are lost and follow a Zurku, it will lead them to a trail or road. (This legend is shared by the Dunlendings and appears to have originated among the ancient Southrons during the early Second Age.) There may be some truth to this belief, since the Zurku apparently understands that, where there are trails there are beasts (and beast-droppings), and where there are beasts there are flies.",Normal. Lvl 1 contact Nerve poison.,1-2,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,wmsk,BFZP,3,8-12 inches
Animated Plant,EVIL HUORN,,,,,,,,,,,,,,,,?,,,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,?,?,0,?
Bird,Barrow Owls,2,,FA/FA,1,20,0,S,,,,35SCl,10SPi,-,50,,"The Barrow Owl is a small, rare Owl which has taken to living in the open barrows and abandoned gopher tunnels of Eriador (especially in northern Cardolan). Nocturnal and exceedingly specialized, they are virtually blind when confronted with bright light (e.g., in day- or torchlight). This is important, for they startle easily and swarm like Bees when confronted with a potential foe. They carry numerous diseases, including rabies and lycanthresis, to which they are immune. (Normally 2nd-3rd level, the latter disease is a severe psychiatric infliction that affects victims in 110 days and leaves them with the false belief that they are wild animals.)",Normal. Nocturnal predators.,1-5,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,mkt,VHPL,6,6 inch wingspan
demonic water beast,DEMON WHALES,,,,,,,,,,,,,,,,"Demon Whales are huge, carnivorous white or gray creatures that live in the Ice Bay of Forochel. Their five-inch teeth can tear steel, and they think it no problem to swallow a man whole (and, in spite of old tales, it is unlikely that a man would survive long in the roiling acids of the Demon Whale's stomach). They often shatter whale boats or overturn larger vessels.",,,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,ktcf,OS,6, 60-70ft
demonic water beast,FELL TURTLES (FESTITYCELYN),,,,,,,,,,,,,,,,"Fell Turtles are giant snapping turtles that prowl the seas and the large rivers and lakes in central Middle-earth. Also called the Turtle-fish or 'Fastitocalon' (pl. 'Festitycelyn'; S. 'Aegcnimor'; pl. 'Aeg-crymyr') these rare but formidable creatures grow as large as fifty feet in length. They live in deep waters but, when hungry or angry, may swim closer to the coast. There, they hunt everything from large fish to small boats piloted by foolish seamen.",,,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,nwmktcf,OS,8, 30ft
demonic water beast,NINEVET / OR GIANT HELLBENDERS,,,,,,,,,,,,,,,,"The Ninevet is an almost totally aquatic amphibian, a strange and loathsome carnivore that inhabits marshes, swamps, lakes, or slow-moving rivers throughout Middle-earth. It is very common in the Nindalf (Wetwang) marshes. Ninevet float just below the surface of the water, looking (if they are visible at all) like dead logs. When they spot a potential victim(anything from a duck to a man, depending upon the size of the Ninevet), they erupt directly below it. stunning the creature. If it is a small enough creature, the prey is swallowed immediately. Otherwise, the Giant Hellbender wrestles its victim to the bottom with its leathery paws and sharp claws, holding it down until the struggle ceases. It then swallows the victim at its leisure, relaxing and expanding its flexible maw to lit the meal at hand. Ninevet can go for weeks without eating, but have little stamina in action, so any creature large and strong (enough to offer a protracted struggle) may be released as the Ninevet swims off in search of easier prey.",,,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,nwmxkt,FM,4,5-8ft
demonic water beast,RED JAWS,,,,,,,,,,,,,,,,"An ugly, scaleless fish living in the depths of caverns, especially in Moria, the monstrous Red Jaw has its eyes set in the top of its head. Its gaping jaws, like those of the sea shark, contain up to seven rows of sharp teeth (but this characteristic does not endear them to Dwarves...). Aside from the bright red jaw and the luminescent growths on their fins, the Red Jaw is colorless. These fish can provide quite a brilliant display in a darkened stream or lake, as their luminescent red fins flick to and fro; they can provide quite a display of another sort as they swallow a dog or goat whole or devour a Dwarf's leg in seconds.",,,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,wmskt,UVL,5,4-6ft
demonic water beast,VODYANOI,,,,,,,,,,,,,,,,"The Vodyanoi is a relative of the Giant Hellbender. An aquatic carnivore, it prefers the flesh of mammals, especially people, over all other treats. Growing up to 6' tall, it resembles a giant, black frog. It lurks in dank pools, below the water, ready to strike. Then the Vodyanoi either drags its prey into the water in order to drown it, or swallows the victim whole. Like a snake, it can dislocate its own jaw to swallow creatures larger than its mouth would normally allow. The Vodyanoi has huge eyes which it sometimes uses to distract and hypnotize its prey. (Anyone so affected must make a 5th level RR, adding any available PR, but no other, bonus.)",,,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,nwmskt,FM,7,5-6 tall (8-10 extended)
demonic water beast,WATCHERS IN THE WATER,,,,,,,,,,,,,,,,"Watchers in the Water are freshwater Kraken that normally reside in the pools of the Underdeeps. Sometimes, however, they swim into above ground meres. Such was the case with the Watcher at the West Gate. This creature remained unknown to any of the Free Peoples until near the end of the Third Age, when it emerged from the depths of Moria into the Sirannon ('Gate Stream') by the West Gate of Moria, damming the Sirannon to form a gloomy lake in what had been a little valley. Driven by Sauron's evil will, it waited for prey there by the West Gate, catching at least one Dwarf and a number of foolhardy beasts and Orcs before encountering the Fellowship of the Ring in early T.A. 3019. Then, it nearly captured Frodo, the Ringbearer, as the party entered Moria. It is not known what happened to the Watcher after the War of the Ring. Without Sauron's hatred guiding its movements, it may have returned to the Underdeeps. Alternatively, it may still be in the Gate Pool, waiting for victims to puzzle over the inscription on the West Gate.",,,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,wmskt,FM,8,50-70ft (including tentacles)
Bird,Vereut Eagles,3,,FA/FA,1,30,,M,,,,45MCl,35SPi,-,35,,"The Vereut Eagle inhabits the hills of eastern Eriador. It is blue over most of its body and wings, but its hue reaches a dark purple near the face and wing tips. The Eagle's beak and eyes standout in stark contrast, for they both are a bright yellow color. While hunting, they fly silently, low to the ground, enabling them to the tops of hills and ridges to surprise their favorite prey - Gophers and Rock Hydrax. This method of hunting is startling to those are unacquainted with the beasts, and many an Eriadoran has suddenly found himself in a brief, bewildering combat at the crest of a hill. Several Dunlanders wear scars on their faces attesting that these chance meetings can be dangerous.",Aggressive. Low-flying hunters.,1-5,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,tnkt,BFCDPILR,5,20 inch body / 6 ft wingspan
Bat,Vault Shrikes,1,,VF/BF,1,5,,T,,,,30TBi,40TTi,poison,60,,"The Vault Shrike is a tiny, bright red Bat with a long no tongue with which it pokes into holes and crevices for insect - It also secretes from its tongue a highly toxic nerve poison enables it to deal with larger prey. These the Vault Shrike paralyzes or kills by means of the poison. It then rips its victim to shreds with its tiny sharp teeth. The Vault Shrike's diet is further enhanced by its ability to catch small frogs in an ironically froglike manner - by snatching the prey midleap with that long tongue. Vault Shrikes get their name from their unnerving, shrieking cry. They are only found in Moria the caverns of the Misty Mountains. ",Normal. Toxic nerve poison (lvl 5).,1-5,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,wmkt,UVELQR,6,6-12 inches
Bird,Thrushes,0,,VF/FA,1,6,,T,,,,15TPi,-,-,60,,"Thrushes are large songbirds. Nearly as intelligent and gifted as ravens, they are among Radagast the Brown's principal messengers and scouts. They are also long-time friends of wise Men in many regions, but especially in Erebor and the Dale. Dwarves admire them, but cannot communicate with them because the Thrushes speak too quickly and in too high pitched voices (one would imagine that Ents would have similar problems). The Thrush language can, however, be learned by Men and Elves who care enough to make a study of such things. Thrushes are very keen eyed and have a strong streak of curiosity in them, so they make excellent scouts. 'The Old Thrush of Erebor.' This wise old bird helped Thorin and Company find the secret entrance to Smaug's cave. He also brought the Dwarves a Raven, so that his other observations could be translated to the Thorin. Then, the Old Thrush warned Bard the Bowman of Smaug's weak spot.",Curious. Intelligent messengers.,1-2,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,wmkt,EFLACDH,3,12-18 inches
Bird,Sea Eagles,5,,VF/VF,1,65,,M,,,,65MCl,50MPi,-,45,,"Smaller, swifter kinsmen of the fierce Red Eagles, Sea Eagles live along the coasts of the Romenëar (Q. 'East Sea') and the eastern Haragaer(S. 'South Sea'). There, they hunt sea mammals, large fish that swin near the surface, and even sea turtles. The bane of Water Drakes, Sea Eagles are often worshipped as saviors by the seafaring tribes of the remote eastern isles. Sea Eagles have yellowish-gold underplumage and blue-green feathers on the tops of their backs and wings. They have golden beaks. ",Aggressive. Fierce predators.,1-5,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,hmkt,OSDJEY,7,3.5 ft body / 15 ft wingspan
Bird,Short-eared Owls,4,,FA/FA,1,20,,S,,,,50SCl,25MCl,-,50,,"A rare day-hunting Owl, the Short-eared Owl is quite. Like many other Endorian birds, however, it is an intelligent perceptive creature. They were taught by the Elves to speak and have their own language. One who is close to Nature can get helpful information from them. ",Normal. Rare nocturnal predators.,1-10,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,wmktc,BMCDHPQR,7,3 ft wing-span
Bird,Red Eagles,6,,VF/FA,1,75,,M,,,,70LCl,45MPi,-,40,,"The Red Eagle dominates the skies of the East. Smaller relatives of the Great Eagles, who are rare in eastern Endor, these magnificent predators are relatively numerous and pose a threat to travellers in the Red Mountains and Mountains of the Wind. Fortunately, though, they usually prefer to hunt goats, sheep, or wild horses. Red Eagles are known for the deep red hue that accents the tips of their gold-colored plumage. They have scarlet beaks. ",Aggressive. Numerous. Predators.,1-5,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,mkt,AFCDEL,6,4.5 ft body / 25 ft wingspan
Bird,Ravens,4,,VF/VF,3,20,,S,,,,50SCl,25MCl,-,50,,"Ravens are among the more intelligent birds to be found in Middle-earth. Not as noble nor as wise as the Great Eagles (see below). Ravens are nevertheless on the side of good — unlike all too many of their lesser Corvidae cousins. They are reputedly the messengers of the Vala Námo (Mandos) and are associated with Fate and Prescience. The Ravens of Erebor befriended and counselled the Dwarves of the Line of Durin during the Third Age. These noble birds live a long time - Roäc of Erebor lived past 150 years of age. Brilliant and somewhat enchanted, most Ravens can speak the tongues of the Free Peoples (or at least of Men and Elves",Normal. Intelligent. somewhat enchanted.,1-30,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,ktc,AFMWCDHPERY,4,4-5 ft wingspan
Bat,Hunting Bats,2,,VF/VF,1,20,,S,,,,50SBi,-,-,50,,"A large, carnivorous bat of the White Mountains, Hunting Bats are attracted to the smell of blood. They will pounce upon a bleeding victim, tearing flesh from bone with their small, razorsharp teeth. In addition, they are notorious carriers of disease. Hunting Bats usually dwell near the entrance of a cave (on the inside, of course), but they can also be found in the crevices of cliffs and in abandoned buildings.",Aggressive. Carry disease.,10-30,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,wm,AFUCD,5,3-6 ft wingspan
Bird,Jatewoones,9,,FA/VF,1,120,,L,,,,80LPi,70LCl,50LBa,30,,"The Jatewoone is also known as the cleaverbeak or marsh bird. Standing 9' tall and endowed with Swan-like necks and long, powerful legs, these white waterfowl sport a scarlet band across the eyes. From a distance they might look like a large crane, although they are not of that family. Their beak is a light grey with the exception of the sharp, brilliant indigo dorsal ridge from which they get their name. Extending from this ridge over their head and thrusting out behind is a crest of feathers of the the same color. Birds of prey in every sense, their legs end in talons that can grip even small creatures tightly, and their beaks are made for tearing. Jatewoones live on snakes, fish, and small mammals. Their reputation for hostility comes from their protection of their nests which are usually hidden in swampy areas. They will also attack when they are surprised by noisy people. These birds are incredibly strong and, with their superior height, can do terrible damage to the normal human, often splitting the skull. They can also use their large talons with great effectiveness. Jatewoones mate for life and produce one or two eggs every year or every other year. Usually only one of the fledglings will survive. These young Jatewoones grow at a remarkable pace, reaching three-quarters of their full height in only one year and are fully mature by two. Jatewoones can fly, but if the need to escape danger arises, it is more common to see them running at high speeds, using still water areas for cover.",Protective. Huge marsh birds.,1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,mktc,M,3,12-14 ft wingspan
Bird,Kingfishers,1,,VF/FA,1,8,,T,,,,20TPi,-,-,60,,"The smallest of Endor's fisherfowl, the Kingfisher is also the most attractive. It has a large, silvery bill and silver, blue, orange and white feathers. The Kingfisher's riverbank home belies its beauty, though, for it is little more than a dirty hole full of old fish bones and rotting mess. Besides fish, the Kingfisher preys on insects, centipedes, and small lizards and amphibians. ","Normal. Small, attractive waterfowl.",1-50,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,wmk,M,3,9 inch wingspan
Bird,Kirinkir,0,,FA/MF,1,5,,T,,,,5TPi,-,-,55,,"The Kirinki is a tiny scarlet bird with an extremely high chirp that was one of the most beloved songbirds of Númenor. After the Downfall in S.A. 3319, knowledge of these wondrous singers became confined to verse, illustrations in books, and works of art depicting the little creatures. Some of the Faithful who escaped from Númenor, however, brought their pet Kirinkir with them. Whether any survived or thrived is another matter, although there have been rumors that Radagast the Brown has a pair at his home at Rhosgobel (near the southwestern eaves of Mirkwood). ","Passive. Small, scarlet songbirds.",1-2,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,wmk,FDEL,9,2-3 inches
Bird,Orao,6,,VF/VF,1,120,,L,,,,81MCl,60SPi,-,30,,"The Desert Orao is the principal native Eagle of Far Harad. It is quite similar to the Eagles of the North, except that the environment has forced him to play the role of scavenger as well as hunter. These soaring hunters swoop to attack smaller birds or prey on the ground. Unlike the northern birds, the desert Eagle will as readily eat carrion as fresh meat. This is an adaptation made necessary by the environment. They are aggressive enough to strike travellers along Harad's southern caravan roads. Aside from Men, the Orao are the dominant hunters on the vast plains of southwestern Harad. Their eyries are set in the caverns of the northern Yellow Mountains, and in wind-hollowed caves the highest of the hills east of the hilly Raj region to the north. In size, they are no match for the Great Eagles, but they are large enough to carry off a shepherd's goat or lamb. ",Aggressive. Large Desert Eagles.,1-4,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,nas,SUVWZCPHELQ,5,9 ft wingspan
Bird,Pied Swans,1,,MF/SL,1,35,,M,,,,40MBa,30SPi,-,20,,"Handsome aquatic birds, Pied Swans may be the most intelligent of herbivorous avians. They seem able to remember those who have harmed or helped them (at least for periods of several weeks), and there have been reports of pied Swans leading fog-lost travellers to high ground in marshes. Various rural and primitive peoples, such as the Marshmen of the Nindalf, revere these birds as being sacred to the Vala Yavanna. They are creamy white in color, liberally splotched and speckled with black and gray. Unfortunately, their flesh is tasty and their feathers soft, so that those with more greed than reverence hunt them. Pied Swans are most commonly found in the Nindalf and along the shores of the Anduin in the relatively unspoiled areas of Ithilien. ",Normal. Very intelligent.,2-40,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,wmk,FMHPY,5,6 ft wingspan
Bat,Pond Bats,0,,VF/VF,1,5,,S,,,,25TBi,-,-,60,,"A small black creature, the Pond Bat rarely attacks Men or Elves unless panicked and confused, or trapped. It is, however, a noted carrier of fleas and other parasites, which it leaves in isolated dwellings and camps. Thus, they are a common cause of Cyclic Fever.",Passive. Nocturnal. Ignore 'stun'.,1-100,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,mk,FMCDHPQR,6,2.5 ft wingspan
Bat,Flying Foxes,1,,VF/VF,1,10,,S,,,,20SBi,20TCl,-,50,,"A variety of large bat, the Flying Fox makes its home amid brambles or in the tops of dense, partially-submerged trees of the coastal wetlands. They are most common in the marshes and scrublands of the East, although a few smaller varieties make their homes in Rhûn and one group lives in southern Eriador. Unlike most bats, the Flying Fox thrives in daylight, having good eyesight and a refined sense of smell. Using its long snout, it hunts rodents in the scrub and bites wild berries which might elude its more flatfaced cousins. The Flying Fox is considered synonymous with evil magic in many areas of eastern Middle-earth.",Normal. Good eyesight and smell.,1-20,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,mst,FMSVWZHPQ,4,6-9 inch body / 2-3 ft wingspan
Bird,Great Eagles,30,,VF/VF,11,300,,H/La,,,,120HCl,100LPi,100LBa,90,,"A Golodo is a bright green, moderately large, flightless bird, rather like a large goose on stilts. Excellent swimmers, they subsist primarily on fish, crustaceans, and shellfish. Golodos gather in large flocks during the breeding season in early summer, traveling in small groups during the rest of the year. Golodos will immediately flee the scent of any predator with surprising, if ungainly speed — except during the nesting season, when they will bravely defend their eggs. Given to snapping up carrion, Golodos enjoy the taste of meat, however, they will eat anything, since they are poor hunters.","Good, very intelligent. Use Large Crits.",1-10,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,mktc,M,4,3.5 ft wingspan
Bird,Great Falcons of Ardor,15,,VF/VF,4,150,,H/II,,,,95LCl,70MPi,60MBa,60,,"Smaller cousins of the evil Crebain, Gorcrows are not so much evil as indifferent to suffering. Not nearly as bright as their larger cousins, Gorcrows live to eat (although, if asked, they would probably insist that they merely eat to live). They are attracted to shiny things, and Gorcrows have picked up unbelievable numbers of shiny trinkets and small coins. Their untidy, communal nesting sites are often littered with minor yet still significant amount wealth. However, since Gorcrows will cooperate in protect their nest sites, would-be plunderers are well-advised to be cautious and to wear helmets with small eyeslits - Gorerows notoriously fond of eyeballs!",Fierce. Mounts Of the Lords of Air.,1-2,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,ktc,FMCDHPLRY,4,4 ft wingspan
Bird,Great Falcons of Mirkwood,10,,VF/VF,4,100,,L/I,,,,90LCl,60MPi,50MBa,60,,"A plump, gallinaceous (chickenlike) bird of the grasslands Calenardhon (Rohan), the tasty Grass Grouse is the preferred prey of many hunters, be they winged or two- or four-legged. Many man, Red Fox, or Hawk will pass easier prey by for a crack at greasy Grass Grouse. Their black-speckled brown plumage provides good camouflage in the tall grasses, so the birds prosper and spread in spite of their inherent appeal to the palate. The male booming mating cry is most remeniscent of a drunk blowing over the neck of a bottle. ",Normal. Rare. Very maneuverable.,1-2,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,wmk,FPL,3,8-12 inches
Bat,Golodos,1,,MD/MD,1,40,,M,,,,35SPi,-,-,20,,"Seldom-seen, the grey and purple Great Bat is found in remoter parts of Mirkwood. Little is known of its habits. It eats night-flying birds (e.g.. Owls), large spiders, and various rodents, although larger individuals have been known to fell small bear. The Great Bat suck blood (always a tempting notion to those who dislike bats, even the small insectivorous kind) from its victims, and feeds on the softer flesh of its prey. ",Passive. Aggressive during mating season.,1-100,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,ktc,FUVCDL,7,5 ft wingspan
Bird,Gorcrows,1,,FA/MF,1,20,,S,,,,10SPi,10SCl,-,55,,"The Great Eagles are the most noble of all birds, having been created by the Valar Manwë, Lord of the Air, and Yavanna, Queen of the Earth. Appointed as overseers of all the Kelvar, they have played many glorious roles in the history of Middle-earth. Their exploits are legion. They have rescued numerous champions who were in their hour of greatest need. Both the Noldo Elf Maedhros, who was imprisoned in Thangorodrim, and Gandalf the Grey, who was confined at Orthanc by Saruman, owe their salvation to these graceful creatures. (Indeed, they also aided Gandalf after his combat with the Balrog of Moria.) Great Eagles are as intelligent as any of the Free Peoples but are not numbered among them, presumably because they lack the power to build things and fashion crafts. These huge birds are not to be trifled with, though they are fierce foes when aroused to anger and have little patience with faint-heartedness in the face of danger. They are stalwart foes of Evil and especially hate any other creature of the air who has allied with the Valar's enemies. Great Eagles confer among themselves in their own tongue, Eryr-aryth, but they can usually also speak Sindarin and some prevalent Mannish tongue(s) (e.g., Westron). Some particularly scholarly Eagles have mastered dozens of languages. 'Thorondor, Lord of the Eagles of Crissaegrim.' Thorondor was the chief of the Eagles of Beleriand in the First Age. He was a staunch friend and ally of the Edain and the Noldor. Among his noble deeds was the leading of the guard force of Eagles on Gondolin, the city of the Noldor in that Age, the rescue of Maedhros, the wounding of Morgoth himself, the recovery of the body of the Noldo Fingolfin during the Battle of the Sudden Flame (Dagor Bragollach), the rescue of Beren and Lúthien as they fled from Angband, and the leading of the Eagle forces during the Great Battle at the end of the First Age. Thorondur was allowed to go West at the end of the Age. No Great Eagle since has left such a legacy or been so powerful. His 180' wingspan made Thorondor the largest bird ever to fly over Endor, and his size enabled him to melee Dragons. 'Gwaihir Windlord, Lord of the Eagles of the Misty Mountains.' Gwaihir became a friend of Gandalf the Istar after the latter healed him of a poisoned wound. Gwaihir repaid his friend's kindness many times over as the years went by, rescuing Gandalf, Thorin Oakenshield and their companions from Wargs and Goblins (Orcs) on their way to the Lonely Mountain. The Windlord subsequently led his Eagles to the Battle of the Five Annies. He also rescued Gandalf from his imprisonment atop Isengard and later from the Peak of Zirak Zigil (Silvertine) after his battle with the Balrog. Finally, Gwaihir saved Frodo the Ringbearer and his companion Samwise from Orodruin (Mount Doom) after the destruction of the One Ring. Gwaihir's Eagles also served Gandalf and his fellow Istar Radagast as spies at their Lord's instructions. 'Landroval, Brother of Gwaihir.' Nearly as mighty as his brother, Landroval aided in the rescue of Frodo and Samwise from Mordor in the cataclysm accompanying the destruction of the Ruling Ring.",Hungry. Attracted to shiny things.,5-50,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,hf,AGFSJTEKLQ,7,5 ft body / 30 ft wingspan
Bird,Grass Grouses,0,,FA/FA,1,8,,T,,,,10TPi,-,-,70,,"These fierce creatures were the preferred mounts of the Lords of the Air of the Court of Ardor in southern Middle-earth. They were perhaps developed from the Great Falcons of Mirkwood (see below). This fact would have been known to Sauron, who could have shared his knowledge with the evil Elda Court. The fiercest of these Falcons were tied to specific of the Windlords by magical means. Their loyalty to their masters was unswerving, and no one else could ride them unless they could somehow overcome the will of the Falcons by magical means. 'Sûlroch, Elros, and Gilsûl, Finest Falcons of Ardor'. These mighty birds were the steeds of Sûlherok, Messenger of the Court of Ardor, and Valkrist, the Court 's Lord of Arms (who had the latter two at his disposal). ",Passive. Standard gamebirds.,1-10,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/default.jpg,,h,AFJPL,7,4.5 ft body / 25 ft wingspan
