item,type,area,climate,locale,difficulty,form,prep,cost,AF,comment,effect,lvl
Ecsasse,Physical Alteration/Enhancement,---,---,---,very hard,Clove,Brew,16sp,0,,Imbiber is immune to mind attacks and mind disease for the duration (1-10 hours).,12
Eddij,Life Preservation,---,---,---,folly,Berry,Juice,300sp,0,,Magical herb. Preserves life (i.e heart will continue to beat unless totally destroyed and target will enter a coma-like state) of a person threatened with imminent death. Duration varies with the level of the person that applies the herb 1 day per level.,19
Edram,Muscle/Cartilage/Tendon Repair,---,---,---,folly,Moss,Apply,18sp,0,,Mends a broken bone when applied. The injured bone must be set before ingestion of the herb. ,12
Elbens Basket,Combat Enhancement,---,---,---,extreme,Root,Brew,3sp,5,If drawback occurs user will be at 50\\% activity after his round of double speed.,Heart stimulant. User may act at double speed (200\\% action) for one round. He may select this round freely within the span of 1 hour. Effect can only be used once per dose taken and no more than 3 doses can be taken simultaneously.,12
Eldaana,Antidotes,---,---,---,medium,Leaf,Brew,25sp,0,,Antidote for reduction poisons. Will reverse any effects of a reduction poison over the course of 1 hour. Also reverses the effects of �Ugliness of Orn� curse.,9
Eledena,Combat Enhancement,---,---,---,extreme,Bud,Ingest,9sp,5,If drawback occurs sideeffects of varying degree may take place: (1-50) user is speeded but after the 5 rounds of double speed has passed user will be at 50\\% for 5 rounds (51-70) no effect at all (71-90) no speed but instant unconsciousness for 1-10 hours (91-95) immediate heart failure results in organ damage; -50 for 6 days or (96-100) immediate death by heart attack.,"User is hasted (200\\% action) for 5 continous rounds. The ""hasted"" rounds must start within 5 minutes of taking the herb othervise it is forfeit.",16
Elendils Basket,Antidotes,---,---,---,light,Root,Brew,2sp,0,,Purifies foul tainted water and slows the effects of poisons by x10.,4
Etarka,Poison,---,---,---,medium,Fish,Liquid,16sp,0,When penalty reaches -100 (i.e in 10 days from poisoning) victim is incapacitated and waiting for death.,Conversion poison. Heart is embedded in sick tissue and fat. Foe is at a cumulative -10 per day that passes since his poisoning. Death in 10-100 days unless antidote is applied.,2
Faghiu,General Purpose,---,---,---,very hard,Flower,Brew,100sp,10,Drawback will cause equally strong emotions but of other types: i.e hate anxiety fear sorrow etc in target.,Love potion made from the magical Vanimelda flower. If imbibed the target will be faithful and loving versus the one who administers the potion or has worn it close to his heart for a prolonged period of time. The effect will last for 1-100 days (1 day per 1 failure up to 100). For more rules on Love Potions see the Hands of the Healer p.147.,12
Falsereg,Poison,---,---,---,extreme,Blood,Paste,8sp,0,,Nerve poison. Prepared from fish blood. RR failure by 01-25 results in concentration disorders loss of memory and anxiety causing a -1 per 1 failure penalty to all actions. Failure by 26+ also results in immediate internal bleeding (3 hits/rnd for 6-60 rounds).,1
Febfendu ,Muscle/Cartilage/Tendon Repair,---,---,---,medium,Root,Brew,42sp,10,Drawback indicate a permanent reduction of hearing ability even though hearing is restored.,Restores hearing regardless of how severe the damage to the ear is. Recovery time is between 8 hours and 1 week depending on the severity of the damage (GM discretion). ,8
Feduilas,Physical Alteration/Enhancement,---,---,---,hard,Flower,Smoke,11cp,15,Drawback indicate an addiction to the herb. See addiction rules in Gamemaster Law p. 90.,Intoxicant. Provide +20 to RR vs Mentalism and Essence but also -10 to Agility and Quickness stats for 1-5 hours.,6
Fek,Circulatory Relief,---,hot and humid,ocean/saltwater shore,very hard,Nut,Brew,50gp,5,Each week after the first provide a -10 penalty to the Herb Lore roll when using.,Stops all bleeding wounds in one body. Take 1-10 rounds to take effect. Patient cannot be moved for 1 hour or bleeding will resume at half rate. The nut will keep a long time but once brewed it will only have full effect for 1 week.,10
Felmather,General Purpose,---,---,---,hard,Leaf,Ingest,50sp,15,Drawback will cause the attention of other maybe hostile beasts of the area.,Mental summons of 1 friend (folk or beast) within 300' per level of user. This herb also serve as a powerful coma relief awakening the comatose victim within 1-10 minutes of ingestion. ,7
Fiis,Concussion Relief,---,---,---,easy,Resin,Apply,1cp,0,,Heals 1-6 hit points.,2
Flameroot,Concussion Relief,---,---,---,medium,Tuft,Ingest,8bp,0,,Doubles the healing rate of concussion hits. Halves the recovery time for other herbs.,8
Fleabane,General Purpose,---,---,---,extreme,Leaves,Apply,3bp,0,,Repels blood sucking insects. Comes in powder and juice form. The powder keeps for several months while the juice must be used with one week.,10
Flur-rort,Antidotes,---,---,---,very hard,Flower,Liquid,40sp,0,,Antidote for nerve poisons. Will reverse all effects. The reversal take 1-10 minutes depending severity. This antidote cannot bring back anyone that has died as a result of poison.,14
Fukavar,General Purpose,---,---,---,very hard,Flower,Smoke,22sp,20,Drawback awakens the interrest of someone else than desired. Perhaps a Faeri� or other being of the twilight world?,Allows mental summons of 1 friend within 20 miles. The summons take 20 rounds to perform and user may NOT communicate with the summoned friend by use of this herb. The summoned friend will know the distance and direction towards his friend for 24 hours.,10
Furry Oak Acorn,Nutrition/Refreshment,---,---,---,medium,Nut,Ingest,12bp,0,,1 nut provide 1 days nutrition. However one cannot live for more than 7 days on Furry Oak Acorns without suffering nutrition shortage.,6
Galenaana,Poison,---,---,---,very hard,Leaf,Powder,63sp,0,,Respiratory poison. Green powder which kill elves on RR failure of 51+. Other races suffer a coma for 1-100 weeks if RR fail by 51+. The effects is othervise as noted in Gamemaster Law p.94.,9
Galenas,Physical Alteration/Enhancement,---,---,---,medium,Leaf,Smoke,1bp,0,Drawback indicate an addiction to the herb. See addiction rules in Gamemaster Law p. 90.,Relaxing intoxicant. User feels happy but is slow and acts at -75 for 1-10 rounds. The euphoric feeling continue for 1-6 hours during which user is at a mere -10.,4
Gariig,Concussion Relief,---,---,---,light,Cactus,Ingest,5sp,0,,Instantly heal 30 hit points.,6
Gartaan,Poison,---,---,---,folly,Waters,Ingest,35sp,0,,Conversion poison. Causes hemophilia. Any bleeding will be doubled until cured of the disease.,15
Gefnul,Concussion Relief,---,---,---,hard,Lichen,Ingest,30sp,0,,Heals 100 hit points instantly.,12
Gildarion,Muscle/Cartilage/Tendon Repair,---,---,---,extreme,Leaf,Paste,110sp,5,Drawback indicate a lowered function of the healed organ such as persistent pain causing a permanent -5 penalty.,Major organ repair. Recovery time is 1-10 days depending on the severity of the wound. ,13
Golden Cress,Circulatory Relief,---,---,---,very hard,Fern,Apply,10sp,0,,Stops bleeding up to 5 hits/rnd. Take 1-5 rounds to permanently seal one wound. If used on a wound bleeding more than 5 hits/rnd the Golden Cress will halve the bleeding for as long as the target remains still.,9
Gorfang,Poison,---,---,---,folly,Moss,Liquid,31sp,0,,Nerve poison. Take immediate effect. RR failure by 1-50 results in random extremity being useless (-25 penalty) for 1 day per 10 failure. RR failure by 51+ results in dissolving of nerves. Victim is a vegetable until nerves are regenerated.,3
Gorfon,Muscle/Cartilage/Tendon Repair,---,---,---,hard,Fruit,Ingest,19sp,0,Drawback causes user to go into sleep lasting for 11-20 hours.,Heals one nerve damage.,6
Gort,Physical Alteration/Enhancement,---,---,---,hard,Leaf,Ingest,13cp,5,Drawback indicate an addiction to the herb. See addiction rules in Gamemaster Law p. 90.,Narcotic intoxicant. User has +10 to Presence and Appearance stat-bonus for 2 hours. After that user will be at -50 to all activities for 1-10 hours.,5
Gramursh,Stun Relief,---,---,---,medium,Moss,Powder,6sp,0,,Stun Relief. When mixed with water and drunk this herb allows imbiber to reduce all stun and stun no parry results from critical injuries by 1 round.,10
Grapeleaf,Nutrition/Refreshment,---,---,---,very hard,Nectar,Ingest,7sp,0,Drawback mean target involuntarily falls asleep unless a RR vs the herbs level is made.,1 days nutrition. If taken before going to sleep it also causes dreams for 2 hours. The dreams often come true. Target has +50 bonus to Divination for these 2 hours.,12
Grelnixar,Poison,---,---,---,absurd,Leaves,Apply,50sp,0,,"Magical poison. Confer ""running death"". If RR fails victim goes mad in 3 rounds often with the result that he starts to run until exhaustion points are up. Whenever exhaustion points return the running will continue. If not stopped victim could actually run/starve himself to death. If RR succeed the poison has no effect at all.",5
Greneldar,Poison,---,---,---,hard,Flower,Apply,66sp,0,,"Reduction poison. Touch causes rash and pains to the exposed skin and confer a -5 penalty per 10 failure (maximum -30) for 1-5 days. If Greneldar is instead ingested victim will ""burn inside"": a -50 penalty for 1-10 days or on a RR failure of 26+ death due to organ damage.",3
Grodloth,Life Preservation,---,---,---,absurd,Flower,Ingest,375sp,0,,Preserves life and eliminates pain for those on the brink of death. Lasts for seven days.,22
Gulperwash,Muscle/Cartilage/Tendon Repair,---,---,---,extreme,Fungus,Apply,320sp,0,,If placed on targets forhead the Gulperwash almost immediately (1-6 rounds) alleviates any affliction including the healing of a damaged organ.,15
Gursamel,Bone Repair,---,cool temperate,short grass,extreme,Stalk,Apply,30gp,5,,Mends one broken bone. It take 6 hours of total rest (immobility) for full effect. If the victim is moved the herb will not take full effect (i.e some penalty will remain even when 6 hours has passed).,10
Gurth-nu-fuin,Poison,---,---,---,extreme,Virus,Anaerobic,41sp,0,,Disease. Causes severe nausea. Victim is at -75 for 1-100 hours. RR failure by 26+ causes death within 2-20 days unless a second RR is successful.,3
Gwin-win-Rynd,Poison,---,---,---,folly,Bat,Liquid,54sp,0,,Reduction poison. RR failure by 1-25 results in total (and permanent) paralysis of the entire body. RR failure by 26+ confers death.,2
Gylvir,Physical Alteration/Enhancement,---,---,---,very hard,Algae,Ingest,62sp,0,If drawback occurs user is not able to breathe air for the entire duration of the herb.,Enables imbiber to breathe under water for 4 hours. ,12
Harfy,Circulatory Relief,---,semi-arid,short grass,very hard,Resin,Apply,175gp,9,,Powerful herb that immediately and permanently closes one bleeding wound.,16
Harlindar,General Purpose,---,---,---,hard,Plant,Brew,24sp,0,Drawback need only be rolled for once during the entire treatment. If drawback occur child will be delivered safely but mother might die (10\\% risk depending on circumstances).,Assures safe childbirth. Harlindar tea shall be consumed one cup every morning the entire labor for full effect. The price noted covers a whole 9 months.,13
Harwite,Concussion Relief,---,---,---,extreme,Moss,Ingest,2sp,0,,Heals 1-50 hit points in one hour. Also mends small wounds (remove the penalty from one wound up to -10).,10
Heen,Poison,---,---,---,folly,Seeds,Ingest,18sp,0,,Circulatory poison. Instantly causes 5-50 hit points followed in 6 rounds by severe ulceration. Victim is at -10 per 10 failure (up to a maximum of -50) for 24 hours.,6
Hegheg,Muscle/Cartilage/Tendon Repair,---,---,---,folly,Root,Paste,14sp,0,,Heals one damaged cartilage in 8 hours.,11
Henuial,Poison,---,---,---,folly,Liquid,Inject,52sp,0,,Conversion poison. Yellow venom injected in blood stream. Victim starts to bleed from the eyes. If RR fails by 1-25 one eye is injured. RR failure by 26+ indicate both eyes damaged and foe permanently blind.,6
Hesguratu,Enchanted Breads,---,cold,mountains,light,Bread,Ingest,45gp,10,"If drawback occurs user take an ""A"" Stress Critical simultaneously with the effect (only first round). Dwarves are immune to this drawback.",4 oz slice is one dose. Once eaten a person might increase his strength for one minute (6 rnds) within the next 24 hours. The strength gain provide +10 OB and double concussion hits delivered in melee combat.,6
Hevik,General Purpose,---,---,---,very hard,Leaves,Ingest,12sp,0,Drawback causes spastical cramps user will be out/prone for 1-10 rounds thereafter at -10 to all activity. Nerve damage.,Intoxicant. Induces sleep for 11-20 hours. RR vs 10th lvl if ingested. RR vs 3rd lvl if smoked.,10
Hiam,Nutrition/Refreshment,---,---,---,hard,Moss,Ingest,5bp,0,Drawback: outside the hillmen society some people are allergic to Hiam moss causing them to suffer convulsions and eventually dying a horribly torturous death if RR fails by 21+.,1 days nutrition. Those who ingest Hiam moss find themselves alert and vigorous for 24 hours. Can be used for max 4 consecutive days. After that time a user must rest (or be at -75 to all activity) for twice as many days as he have used the herb. ,6
Himros,Burn/Exposure Relief,---,---,---,very hard,Leaves,Apply,15sp,0,,Cures burns. Will heal the injuries from 1 wound in 8 hours (including penalties and hits). Also relieves Pangwood inflammation.,9
Hith-i-girith,Poison,---,---,---,hard,Leaf,Liquid,33sp,0,,Vapor from a live tree causes immediate and continuing sleep. Target cannot be awakened (except through magic or antidotes) and the sleep is permanent. Hard to find and extremely rare since the Hith-i-girith will only sustain for 12 hours after being harvested.,4
Hoak-Foer,Muscle/Cartilage/Tendon Repair,---,---,---,easy,Flower,Ingest,25sp,10,If drawback occurs the ingester of the herb suffer a temporary loss of movement for 1-10 weeks. During this period user is at -15 to all moving maneuvers.,Cures mental diseases in 1-6 days depending on severity. Will also cure mind loss (i.e stat loss in any non-physical stat). Stats temporary lowered by Stat Gain rolls or spells are increased by 1 point per day after the herb is ingested until it reach its former value. ,10
Hugar,General Purpose,---,---,---,medium,Root,Ingest,1sp,10,Drawback equals the same effects as from a Mild circulatory poison.,Harmless circulatory poison. Causes sleep and deep unconsciousness within 6-12 rounds of ingesting. Sleep lasts for 1 hour per 10 failure but no longer than 3 hours maximum. 1 hours sleep equals 4. ,6
Hugburtun,Circulatory Relief,---,---,---,very hard,Fruit,Brew,90sp,0,,Immediately stops any form of bleeding. All wounds will close and stops internal bleeding stops. Hugburtun restores blood vessels to normality.,18
Hulmiikak,Poison,---,---,---,extreme,Ants,Paste,28sp,0,,Muscle poison. Made from desert ants. RR failure by 26+ causes victims eyesight to be grumbled and all actions to be at -25 for 1 day per 1 failure. If RR failure is 51+ the effect is permanent.,5
Igturfas,Poison,---,---,---,absurd,Snakes,Liquid,80sp,0,,Muscle poison. Causes convulsions and muscle spasms. RR failure by 26+ puts victim at -50 to all actions for 1 hour per 1 failure (up to a maximum of 50 hours). RR failure by 51+ equals death in 6 hours due to shock and heart failure.,8
Jadaras,Poison,---,---,---,medium,Grass,Brew,15sp,0,,A disease confered via the Jadar Grass. A victim who fails RR has his AG-stat lowered by 30. The stat does not begin to rise until a second RR is made. Victim is entitled to one RR each week. The disease have a 24 hour incubation period. Any stat loss below zero kills victim.,3
Januk-ty,Stun Relief,---,---,---,very hard,Root,Brew,6sp,0,,Stun Relief. Removes 3 rounds of stun or stun no parry from one critical. Duration is 12 hours or until first critical that causes stun.,11
Jegga,Poison,---,---,---,hard,Bats,Paste,32sp,0,,Respiratory poison. Gives off a notable smell. Causes 1-100 hit points immediately when entering blood system.,7
Jeggarukh,Poison,---,mild temperate,underground,hard,Bats,Powder,71gp,3,,Black powder gives 10-100 hits.,6
Jitsu,Poison,---,mild temperate,ocean/saltwater shore,medium,Clams,Liquid,34gp,0,,Yellow venom gives 5-50 hits,5
Jitsutyr,Poison,---,---,---,very hard,Clams,Paste,84sp,0,,Respiratory poison. Tan paste destroys lungs. Victim bleed from mouth and is instantly nearly incapacitated (-75). If RR failure is 21+ victim will die in 10-100 rounds (+CO-bonus).,2
Joef,General Purpose,---,---,---,light,Plant,Ingest,20sp,0,,Allows mental summons of 1 sentient friend from up to 1 mile'/lvl. The friend know that he has been summoned but has no obligation to go to the summoner (i.e he is in no way forced). The process take 3 rounds of concentration. The summoned friend will know the distance and direction towards his friend for 24 hours.,10
Jojojopo,Burn/Exposure Relief,---,frigid,mountains,medium,Leaf,Apply,9sp,0,,Cures frostbite. Heals 2-20 hits resulting from cold.,6
Juth,Poison,---,arid,desert,hard,Scorpion,Liquid,41gp,0,,insanity in 1-100 weeks; Nerve poison. Causes gradual insanity over 1 week (see Hands of the Healer p.112). Victim take 2-20 hits at the first round of poisoning. ,2
Kakduram,Organ Repair/Preservation,---,hot and humid,jungle/rain forest,extreme,Fruit,Ingest,90gp,6,Drawback indicate a permanent reduction of hearing ability even though hearing is restored.,Restores hearing unless the ear is totally destroyed. ,11
Kaktu,Poison,---,---,---,extreme,Flower,Liquid,8sp,0,,Muscle poison. Victim suffers muscle spasms. RR failure by 1-15 confers a -20 penalty and increased fumble range for all moving maneuvers by +3. RR failure by 16-30 confers a -30 penalty and increases fumble range by +5. RR failure by 31-50 confers a -50 penalty and increases fumble range by +10. RR failure by 51+ nearly incapacitate foe (-75). All results last for 2-20 hours. ,1
Kalmogs Spoor,Poison,---,---,---,hard,Leaves,Paste,10sp,0,,Nerve poison. Instantly causes 2-20 hit points. After the 24 hour incubation period victim is at -10 per 10 failure for 6-10 days. Maximum penalty is -50.,8
Karfar,Poison,---,---,---,extreme,Leaf,Paste,23sp,0,,Circulatory poison. Redish paste causes heart to shut down. On a result of extreme failure death will occur in 2-12 rounds. Othervise the effects follow the 11.2.3 Effect descriptions table in RM FRP Gamemaster Law.,7
Kargijak,Concussion Relief,---,---,---,easy,Berry,Paste,6bp,50,If drawback occurs any non-orc user will be stunned for 1-2 rounds due to severe pain. The wound is certain to leave a scar in either case.,Berries from Mordor. Healing and rejuvenating effect: user instantly regains 20 hit points. ,4
Kaskamak,Combat Enhancement,---,---,---,absurd,Leaves,Ingest,8sp,0,,Chewing the leaves before combat ensures greater stamina and pain resistance. Add CON-bonus as a percentage to the characters hit total (equal to an Unpain spell lasting for 1 hour) and ignore any exhaustion points spenditure during this hour.,16
Kathkusa,Combat Enhancement,---,---,---,light,Leaf,Ingest,4sp,15,"If drawback occurs user take an ""A"" Stress Critical simultaneously with the effect (only first round). Dwarves are immune to this drawback.",User gets +10 OB and deliver double concussion damage in melee for 1-10 rounds.,8
Kelventari,Burn/Exposure Relief,---,---,---,light,Berry,Rub,9sp,0,,"1 dose heals the effects of a 1st or 2nd degree burn (one critical ""A"" take 1 hour ""B"" take 2 hours ""C"" take 4 hours ""D"" take 6 hours and ""E"" take 8 hours to heal). The herb also instantly relieves 1-10 hit points delivered by burns.",8
Kilmakur,Physical Alteration/Enhancement,---,---,---,extreme,Root,Brew,19sp,0,,Protects versus flame and heat for 1-10 hrs. Character has a +30 DB vs all heat attacks.,13
Kirsemal,Combat Enhancement,---,---,---,medium,Bark,Brew,2sp,0,"If drawback occurs user will have the option to abandon his Adrenal Move or take an ""A"" Stress Critical for the first round ""B"" for the second round and ""C"" for the third round.",Allows for Adrenal maneuvers to be prolonged for 3 consecutive rounds (must roll for skill each round). The effect of Kirsemal wears off after the adrenal move have been used or 12 hours pass (i.e Adrenal Move must be performed within 12 hours of intake).,9
Kirtir,Combat Enhancement,---,---,---,hard,Buds,Inhale,2sp,0,If drawback occurs temp CO-value is reduced by 2-20 for 1-10 hours.,Powerful stimulant. Characters QU (stat bonus) is raised by +10 while AG is lowered by -5 for 1 hour. ,10
Klabas,Poison,---,---,---,medium,Buds,Ingest,40sp,0,,Nerve poison. Over a period of 1-10 hours victim increasingly suffers the effects from 11.2.3 Poison Effect descriptions table. When the initial incubation period has passed if the RR failure was 21+ victim will be incapacitated and uncapable to perform any actions (-100) until cured.,10
Klagul,Physical Alteration/Enhancement,---,---,---,light,Bud,Brew,15sp,0,If drawback occurs user gets a horrible migraine beginning within 6-10 hours and lasting 1-10 hours. This head ache gives user a -25 to all actions.,Provides elven eyesight for 6 hours. Imbiber can see perfectly at night (300') without lightsource as long as there is starlight. Also confers a slight infravision (30') so that things that emanate heat are more visible in darkness. ,7
Klandun,Muscle/Cartilage/Tendon Repair,---,---,---,very hard,Fern,Ingest,150sp,0,,Cures paralysis. Immediate effect.,9
Kly,Poison,---,---,---,hard,Berry,Paste,27sp,0,,Respiratory poison. Has effects according to the 11.2.3 Effect Descriptions Table. In addition the victim take 1-100 hit points on a failure between 1-25 2-200 hit points on a failure by 26-50 and 3-300 hit points on a failure of 51+. These hits are distributed over a course of 6 rounds.,3
Klynyk,General Purpose,---,---,---,easy,Oyster,Apply,2sp,0,,Removes hair for several days. Take 12-24 hours to take effect.,4
Klytun,Poison,---,---,---,medium,Root,Paste,25sp,0,,Circulatory poison. A golden paste that initially stuns victim (without parry) for 1 rnd per 10 failure. Thereafter showing gradually over 1-10 hours the poisoning causes catatonia for 1 day/10 failure. Over 1-10 hours victim first become sluggish and slow thereafter unresponsive and finally fully catatonic.,5
Kolandor,Muscle/Cartilage/Tendon Repair,---,---,---,absurd,Leaves,Apply,450sp,0,If drawback occurs a malformed and useless limb will grow back.,Regenerates limbs in 6 months. ,20
Kujanikapurd,Nutrition/Refreshment,---,---,---,medium,Mushroom,Ingest,5sp,0,If drawback occur user will be drowsy and unbalanced all maneuvers at -30 for the day.,1 days nutrition.,6
Kuwurn Yorf,Poison,---,---,---,medium,Mold,Ingest,25sp,0,,Respiratory poison. Slowly destroys lungs. Victim suffers incapacitation and painful death in 2-3 days on a a moderate RR failure (26+).,5
Kykykyl,Physical Alteration/Enhancement,---,---,---,easy,Bread,Ingest,66sp,0,,Haradrim bread secret recipe. Made from a plethora of quite common herbs. Allows one to see with perfect clarity for 1 hour regardless of environment or injuries. Keeps 2-20 weeks.,6
Latha,General Purpose,---,---,---,medium,Stem,Brew,3sp,0,,Cures common cold in 1-10 hours depending on severity. Provide +10 to RR vs disease for 24 hours. Heals 1-2 hit points over 20 rnds.,2
Laurelin,Life Preservation,---,---,---,absurd,Leaf,Ingest,1600sp,0,,Lifegiving for Elves within 28 days of death. The damage that caused death must have been restored before application. Revival takes 24 hours.,30
Laurre,Muscle/Cartilage/Tendon Repair,---,---,---,absurd,Flower,Ingest,150sp,0,,Cures Morgurth in 24 hours. Also usable to awaken anyone from almost any sleep catatonia or coma condition (take 1-10 rounds).,15
Laurus,Stun Relief,---,---,---,medium,Tobacco,Insert,3bp,0,,Putting Laurus under the lip provide +25 bonus to Stunned Maneuver.,2
Lawrim,Poison,---,---,---,medium,Lichen,Paste,3sp,0,,Muscle poison. Causes rashes and pains followed by muscle spasms. Victim take 3 hits per round beginning 6 rounds after poisoning and lasting for 1 round per 1 failure. 12 rounds after poisoning muscle spasms causes a -20 penalty.,1
Lembas,Nutrition/Refreshment,---,---,---,absurd,Bread,Ingest,20sp,0,,Elven waybread. Lembas feeds the will providing +15 to RR vs disease poisons and will contests (SD) and +15 Exhaustion points. It keeps for many years without deteriation. 1 thin cake sustains a full grown man for 1 day.,1
Lemsang,Nutrition/Refreshment,---,---,---,hard,Mushroom,Ingest,8sp,0,,Dwarven mushroom. Dried it keeps for many weeks without deteriation. 1 weeks nutrition.,6
Lenhafn,Nutrition/Refreshment,---,---,---,hard,Fungus,Ingest,7sp,0,,Long lasting dried mushroom 2 pounds is enough to feed a man for 1 week.,4
Lestagii,General Purpose,---,---,---,absurd,Crystal,Ingest,75sp,15,Drawback indicate herb has no beneficial effect and user falls asleep 25-34 hours (24 + 1d10) within 1-10 minutes of ingestion.,When ingested the user falls into a deep sleep lasting for 24 hours. During that time any stat loss other than due to age will be restored (up to a full potential). Each dose affects only one stat. ,18
Lhugruth,Poison,---,---,---,very hard,Dragon,Liquid,70sp,0,,Conversion poison. Dragon blood dissolves afflicted area in 1-10 rounds. Affects metals & organic substances. If thrown use the Acid Ball attack table with x2 concussion damage. If swallowed death in 1-10 rounds. A successful RR means survival but victim is incapacitated with severe internal organ damage.,10
Lichen Gloriosa,General Purpose,---,---,---,extreme,Lichen,Apply,2sp,0,,Sharpens swords to cut even stone. The effects last for 1-10 strokes. Provide non-magical weapons with an additional +5 OB for 1-10 attacks depending mostly on what armor the enemy wears.,9
Lothfelag,Poison,---,---,---,extreme,Resin,Ingest,8sp,0,,Nerve poison. RR failure by 1-50 equals quick sleep for 1-10 hours. RR failure by 51+ equals coma for 1 month per 10 failure.,1
Lothfelag,Life Preservation,---,---,---,extreme,Flower,Ingest,777sp,0,,A rare flower sought after for its lifegiving and lifekeeping effect on dwarves. It has the power to revive (Lifegiving) any dwarf that has not been dead for more that 7 weeks (provided that his injuries were healed and the body preserved). It will also serve as a 7 week lifekeeper. On a non-dwarf the Lothfelag immediately heals all hits and stun effects.,24
Lothnimgil,Physical Alteration/Enhancement,---,---,---,extreme,Flower,Ingest,26sp,0,,Elven flower grows in and near Lothlorien. Heals user of 1-10 hit points. Provide extended self-confidence and allows additonal +5 to all actions for 24 hours.,12
Lu-jy-Mirenna,General Purpose,---,---,---,extreme,Berry,Ingest,10sp,20,The herb still work even if drawback is rolled but the visions are then so disturbing that the character must resist (with SD-bonus) not to act upon them.,Beneficial visions. Powerful hallucinogen that puts user at -15 to all actions for 1-10 hours during which he has visions of the future the present and the past. ,10
Luminous Vrak,Circulatory Relief,---,---,---,medium,Fungus,Apply,5sp,0,,Seals one bleeding wound (of less or equal to 6 hits per round) in 5 rounds.,6
Lus,Poison,---,---,---,light,Flower,Paste,24sp,0,,Conversion poison. Victims that fail RR by 1-10 is temporary blinded for 1-4 hours. RR failure by 11-20 equals permanent blindness failure by 21-50 equals coma and blindness and a RR failure by 51+ means coma blindness and later death (21-30 hrs).,6
Madarch,Concussion Relief,---,---,---,very hard,Mushroom,Brew,10sp,0,,Heals all cuts and restores blood vessels in 2 hours. User is relieved of all hits taken. The herb requires user to rest or healing time will be prolonged until user rests properly.,8
Madwort,Poison,---,---,---,medium,Leaves,Paste,30sp,0,,Circulatory poison. RR failure by 01-25 induces madness for 11-20 rounds (irrational behaviour mad screaming suicidal tendencies etc). Victims failing their RR by 26-50 suffer 21-30 rounds of sensory disturbance during which the victim is at -50 (if in combat might attack allies due to confusion). RR failure by 51+ causes permanent brain damage and loss of 11-20 points from RE-stat.,4
Maiana,Antidotes,---,---,---,routine,Leaf,Brew,7sp,0,,Halves the negative effects of lung afflications and respiratory disease (i.e halves the penalties from respiratory poisons and diseases). Take 4 hours for full effect.,5
Margath,Pain Reduction,---,---,---,easy,Fungus,Paste,2sp,20,,Astringent lotion. When placed on a wound it lowers the penalties from that wound by 10. Only one dose can affect each wound. Margath also prevent infections. AF failure causes the herb to only have effect for 1-10 minutes thereafter the pain (and penalties) return.,4
Marku,Physical Alteration/Enhancement,---,---,---,very hard,Nut,Ingest,22sp,0,,Provides user with infravision (100') for 6 hours. This vision is able to see through even magical darkness.,10
Megillos,Physical Alteration/Enhancement,---,---,---,light,Leaf,Ingest,4sp,0,Drawback confers headache and dizziness (-10 penalty for all manuevers other than perception) for the duration.,Aka. Megilloth. If eaten fresh: increases visual perception by 50-500\\% for 10 mins. If roasted  the range of vision lasts for 4-8 hours. Usually this herb confers a +10 perception modification for the duration. ,10
Menelar,Antidotes,---,---,---,hard,Cone,Brew,10sp,0,,Cures infections and functions as an antidote for circulatory poisons. Stops any further damage but do not reverse effects already taken place.,7
Merrig,Physical Alteration/Enhancement,---,---,---,folly,Thorn,Brew,2sp,15,Drawback indicate an addiction to the herb. See addiction rules in Gamemaster Law p. 90.,Daily ingestion for 10 consecutive days increases PR and AP-stat by 5 (cannot exceed 102). Interruption and withdrawal from a habit of Merrig use means loss of stats (-10 CO -5 RE -5 PR and -5 AP).,12
Mir-Melellen,Antidotes,---,---,---,extreme,Nectar,Apply,75sp,0,,Cures and reverses the effects of any poison. Full reversion take 20 rounds.,18
Mirenna,Concussion Relief,---,---,---,light,Berry,Ingest,1sp,0,,Red berry. Heals 10 hits. Instant effect.,1
Miretars Crown,Circulatory Relief,---,---,---,very hard,Flower,Apply,11sp,0,,Instantly stops bleeding of any one wound. Bleeding resumes if flowers are removed before 10 minutes have passed.,11
Mook,Antidotes,---,---,---,light,Berry,Ingest,5sp,0,,Antidote for respiratory poisons. Stops any further damage. Effects that have already taken effect is not reversed.,4
Moonthumb,Concussion Relief,---,---,---,extreme,Fungus,Ingest,3bp,0,,Heals 1-10 hit points.,2
Moourark,Poison,---,---,---,absurd,Venom,Paste,44sp,0,,Conversion poison. Powerful bat venom that slowly dissolves victims bones. Process starts in 20 rnds and causes incredible pain (-10 per 5 RR failure). Victim is immobilized (-100) in pain after 11-20 minutes. On an RR failure of 51+ victim will die within 11-20 days of intense pain and inactivity.,5
Morgurth,Poison,---,---,---,absurd,Blood,Ingest,900sp,0,,Conversion poison. Extremely rare. One of Middle Earths most powerful poisons causes the brain to dissolve. Even if victim pass his RR he will fall into a coma for 1-100 years.,15
Muilfana,Poison,---,---,---,medium,Sap,Liquid,17sp,0,,Reduction poison. Contact with saliva turns to acid. Destroys esophagus. Victim spits a lot of blood. RR failure by 01-25 results in loss of speech and causes internal bleeding at a rate of 1 hit per round for 11-20 rounds. Failure by 26+ causes internal bleeding at a rate of 1 hit point per 5 failure (and loss of speech).,2
